Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
0.0,0.0,5.648512414287654,0.0,7000.0,1700.0,1850.0,2000.0,6973.791499364644
100.0,-0.0,5.648512414287654,0.0,7000.0,1699.921875,1849.921875,1999.921875,6973.8352493646435
200.0,-0.0001462269022268422,5.648512312310782,87635798346.99802,7000.0,1699.84375,1849.84375,1999.84375,6973.878994903155
300.0,-0.00032495030228804075,5.648512085692952,438181190625.58875,7000.0,1699.765625,1849.765625,1999.765625,6973.922734988625
400.0,-0.0005117992024307709,5.648511728765904,1226913270139.5405,7000.0,1699.6875,1849.6875,1999.6875,6973.966469373067
500.0,-0.0007018994028716252,5.648511239260544,2629112427039.635,7000.0,1699.609375,1849.609375,1999.609375,6974.010197957207
600.0,-0.0008936261701525396,5.648510616040834,4820062347435.9,7000.0,1699.53125,1849.53125,1999.53125,6974.053920691345
700.0,-0.001086283189764595,5.648509858456332,7975050012505.456,7000.0,1699.453125,1849.453125,1999.453125,6974.097637547024
800.0,-0.0012795223043043952,5.64850896609939,12269365697598.445,7000.0,1699.375,1849.375,1999.375,6974.141348506407
900.0,-0.0014731500928596834,5.6485079386972545,17878302971342.97,7000.0,1699.296875,1849.296875,1999.296875,6974.185053557563
1000.0,-0.0016670505027636586,5.6485067760581,24977158694749.395,7000.0,1699.21875,1849.21875,1999.21875,6974.228752692101
1100.0,-0.001861149682210608,5.648505478041605,33741233020314.277,7000.0,1699.140625,1849.140625,1999.140625,6974.272445903878
1200.0,-0.0020553983965637414,5.648504044541785,44345829391123.984,7000.0,1699.0625,1849.0625,1999.0625,6974.316133188262
1300.0,-0.0022497625602132683,5.648502475476426,56966254539958.11,7000.0,1698.984375,1848.984375,1998.984375,6974.359814541653
1400.0,-0.002444217826209589,5.648500770780292,71777818488392.72,7000.0,1698.90625,1848.90625,1998.90625,6974.403489961196
1500.0,-0.0026387463400432153,5.648498930400601,88955834545903.47,7000.0,1698.828125,1848.828125,1998.828125,6974.447159444585
1600.0,-0.002833334710757224,5.648496954293907,108675619308968.64,7000.0,1698.75,1848.75,1998.75,6974.4908229899165
1700.0,-0.0030279726981376678,5.648494842423908,131112492660172.03,7000.0,1698.671875,1848.671875,1998.671875,6974.534480595604
1800.0,-0.003222652337507187,5.6484925947598565,156441777767305.75,7000.0,1698.59375,1848.59375,1998.59375,6974.5781322603025
1900.0,-0.0034173673408995834,5.648490211275389,184838801082473.03,7000.0,1698.515625,1848.515625,1998.515625,6974.621777982858
2000.0,-0.0036121126778820263,5.6484876919476505,216478892341190.94,7000.0,1698.4375,1848.4375,1998.4375,6974.665417762269
2100.0,-0.00380688427614234,5.648485036756629,251537384561492.9,7000.0,1698.359375,1848.359375,1998.359375,6974.7090515976615
2200.0,-0.0040016788037343055,5.648482245684633,290189614043031.4,7000.0,1698.28125,1848.28125,1998.28125,6974.7526794882615
