Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
0.0,0.0,5.649410954560621,0.0,7000.0,1700.0,1850.0,2000.0,6973.830810501586
100.0,-0.0,5.649410954560621,0.0,7000.0,1699.921875,1849.921875,1999.921875,6973.874560501586
200.0,-0.0001462277265000825,5.6494108525826,87636292345.31412,7000.0,1699.84375,1849.84375,1999.84375,6973.918306040047
300.0,-0.00032495213400635065,5.649410625962214,438183660617.16675,7000.0,1699.765625,1849.765625,1999.765625,6973.962046125405
400.0,-0.0005118020873871031,5.649410269031144,1226920186115.9448,7000.0,1699.6875,1849.6875,1999.6875,6974.005780509672
500.0,-0.0007019033593831549,5.649409779520266,2629127246989.029,7000.0,1699.609375,1849.609375,1999.609375,6974.04950909357
600.0,-0.0008936312073778469,5.6494091562935305,4820089517343.016,7000.0,1699.53125,1849.53125,1999.53125,6974.093231827401
700.0,-0.0010862893129371456,5.649408398700487,7975094966351.549,7000.0,1699.453125,1849.453125,1999.453125,6974.136948682705
800.0,-0.0012795295166950966,5.649407506333486,12269434857361.25,7000.0,1699.375,1849.375,1999.375,6974.180659641649
900.0,-0.0014731583966491309,5.649406478919769,17878403746996.633,7000.0,1699.296875,1849.296875,1999.296875,6974.224364692298
1000.0,-0.0016670598994782597,5.649405316267506,24977299484264.414,7000.0,1699.21875,1849.21875,1999.21875,6974.268063826262
1100.0,-0.0018611601729604666,5.649404018236378,33741423209657.414,7000.0,1699.140625,1849.140625,1999.140625,6974.311757037401
1200.0,-0.0020554099821814254,5.649402584720399,44346079354258.164,7000.0,1699.0625,1849.0625,1999.0625,6974.355444321076
1300.0,-0.0022497752413392033,5.649401015637351,56966575638842.336,7000.0,1698.984375,1848.984375,1998.984375,6974.399125673693
1400.0,-0.002444231603346956,5.649399310922,71778223072981.95,7000.0,1698.90625,1848.90625,1998.90625,6974.442801092396
1500.0,-0.002638761213594548,5.649397470521562,88956335954148.52,7000.0,1698.828125,1848.828125,1998.828125,6974.486470574877
1600.0,-0.00283335068104957,5.649395494392591,108676231866816.0,7000.0,1698.75,1848.75,1998.75,6974.530134119234
1700.0,-0.00302798976544035,5.649393382498786,131113231681563.78,7000.0,1698.671875,1848.671875,1998.671875,6974.57379172388
1800.0,-0.0032226705020446276,5.649391134809396,156442659554179.38,7000.0,1698.59375,1848.59375,1998.59375,6974.617443387469
1900.0,-0.0034173866028607597,5.649388751298059,184839842924761.28,7000.0,1698.515625,1848.515625,1998.515625,6974.661089108849
2000.0,-0.0036121330374275563,5.649386231941922,216480112516821.62,7000.0,1698.4375,1848.4375,1998.4375,6974.704728887018
2100.0,-0.003806905733409885,5.649383576720969,251538802336388.75,7000.0,1698.359375,1848.359375,1998.359375,6974.748362721101
2200.0,-0.004001701358842744,5.6493807856175104,290191249671109.8,7000.0,1698.28125,1848.28125,1998.28125,6974.791990610325
2300.0,-0.00419651716118123,5.649377858615776,332612795089353.3,7000.0,1698.203125,1848.203125,1998.203125,6974.835612553999
2400.0,-0.0043913508465880146,5.649374795701595,378978782439311.5,7000.0,1698.125,1848.125,1998.125,6974.879228551504
2500.0,-0.004586200488191828,5.649371596862142,429464558848102.8,7000.0,1698.046875,1848.046875,1998.046875,6974.922838602277
2600.0,-0.004781064455517057,5.649368262085729,484245474720874.25,7000.0,1697.96875,1847.96875,1997.96875,6974.966442705809
2700.0,-0.004975941359595664,5.649364791361634,543496883739903.75,7000.0,1697.890625,1847.890625,1997.890625,6975.01004086163
2800.0,-0.0051708300098408265,5.64936118467997,607394142863702.4,7000.0,1697.8125,1847.8125,1997.8125,6975.053633069308
2900.0,-0.005365729379843281,5.649357442031562,676112612326116.5,7000.0,1697.734375,1847.734375,1997.734375,6975.09721932844
3000.0,-0.005560638580008391,5.649353563407859,749827655635430.2,7000.0,1697.65625,1847.65625,1997.65625,6975.140799638652
3100.0,-0.005755556835489276,5.649349548800849,828714639573467.5,7000.0,1697.578125,1847.578125,1997.578125,6975.184373999596
3200.0,-0.005950483468257465,5.6493453982029935,912948934194693.9,7000.0,1697.5,1847.5,1997.5,6975.227942410939
3300.0,-0.006145417882433449,5.6493411116071695,1002705912825319.0,7000.0,1697.421875,1847.421875,1997.421875,6975.271504872372
3400.0,-0.006340359552205939,5.6493366890066214,1098160952062398.5,7000.0,1697.34375,1847.34375,1997.34375,6975.315061383598
3500.0,-0.006535308011822127,5.649332130394919,1199489431772936.0,7000.0,1697.265625,1847.265625,1997.265625,6975.358611944336
3600.0,-0.006730262847246227,5.649327435765922,1306866735092985.2,7000.0,1697.1875,1847.1875,1997.1875,6975.402156554318
3700.0,-0.006925223689170685,5.649322605113745,1420468248426751.8,7000.0,1697.109375,1847.109375,1997.109375,6975.445695213285
3800.0,-0.007120190207130886,5.649317638432735,1540469361445694.8,7000.0,1697.03125,1847.03125,1997.03125,6975.489227920991
3900.0,-0.007315162104525289,5.649312535717449,1667045467087629.2,7000.0,1696.953125,1846.953125,1996.953125,6975.532754677197
4000.0,-0.007510139114382538,5.649307296962626,1800371961555827.8,7000.0,1696.875,1846.875,1996.875,6975.576275481673
4100.0,-0.007705120995748031,5.6493019221631755,1940624244318122.0,7000.0,1696.796875,1846.796875,1996.796875,6975.619790334197
4200.0,-0.007900107530586682,5.649296411314159,2087977718106004.8,7000.0,1696.71875,1846.71875,1996.71875,6975.663299234553
4300.0,-0.008095098521117857,5.649290764410778,2242607788913731.5,7000.0,1696.640625,1846.640625,1996.640625,6975.706802182531
4400.0,-0.008290093787513737,5.649284981448357,2404689865997422.5,7000.0,1696.5625,1846.5625,1996.5625,6975.750299177924
4500.0,-0.008485093165904555,5.649279062422335,2574399361874163.0,7000.0,1696.484375,1846.484375,1996.484375,6975.793790220536
4600.0,-0.008680096506644029,5.649273007328259,2751911692321107.5,7000.0,1696.40625,1846.40625,1996.40625,6975.837275310169
4700.0,-0.008875103672796219,5.649266816161768,2937402276374578.5,7000.0,1696.328125,1846.328125,1996.328125,6975.880754446635
4800.0,-0.009070114538811536,5.649260488918593,3131046536329170.0,7000.0,1696.25,1846.25,1996.25,6975.924227629746
4900.0,-0.009265128989364867,5.649254025594541,3333019897736848.5,7000.0,1696.171875,1846.171875,1996.171875,6975.96769485932
5000.0,-0.00946014691833313,5.649247426185497,3543497789406053.5,7000.0,1696.09375,1846.09375,1996.09375,6976.011156135174
5100.0,-0.009655168227893102,5.649240690687412,3762655643400800.5,7000.0,1696.015625,1846.015625,1996.015625,6976.054611457133
5200.0,-0.009850192827723377,5.649233819096304,3990668895039781.5,7000.0,1695.9375,1845.9375,1995.9375,6976.098060825022
5300.0,-0.01004522063429662,5.649226811408245,4227712982895466.0,7000.0,1695.859375,1845.859375,1995.859375,6976.141504238669
