Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
0.0,0.0,5.647616016163167,0.0,7000.0,1700.0,1850.0,2000.0,6973.752281946697
100.0,-0.0,5.647616016163167,0.0,7000.0,1699.921875,1849.921875,1999.921875,6973.7960319466965
200.0,-0.00014622607991869547,5.647615914187442,87635305526.38957,7000.0,1699.84375,1849.84375,1999.84375,6973.839777485258
300.0,-0.00032494847493660543,5.647615687572161,438178726522.5491,7000.0,1699.765625,1849.765625,1999.765625,6973.88351757084
400.0,-0.000511796324352266,5.647615330649127,1226906370651.043,7000.0,1699.6875,1849.6875,1999.6875,6973.927251955459
500.0,-0.0007018954557925447,5.647614841149273,2629097642421.47,7000.0,1699.609375,1849.609375,1999.609375,6973.97098053984
600.0,-0.0008936211449361376,5.647614217936572,4820035242302.707,7000.0,1699.53125,1849.53125,1999.53125,6974.014703274284
700.0,-0.0010862770811898824,5.64761346036059,7975005165830.76,7000.0,1699.453125,1849.453125,1999.453125,6974.0584201303345
800.0,-0.001279515109108262,5.6476125680136855,12269296702714.709,7000.0,1699.375,1849.375,1999.375,6974.102131090157
900.0,-0.0014731418088667332,5.647611540623104,17878202435941.656,7000.0,1699.296875,1849.296875,1999.296875,6974.145836141819
1000.0,-0.0016670411284511232,5.647610377997024,24977018240881.04,7000.0,1699.21875,1849.21875,1999.21875,6974.189535276929
1100.0,-0.0018611392164710294,5.647609079995128,33741043284388.562,7000.0,1699.140625,1849.140625,1999.140625,6974.2332284893455
1200.0,-0.0020553868385665376,5.64760764651143,44345580023909.836,7000.0,1699.0625,1849.0625,1999.0625,6974.276915774434
1300.0,-0.00224974990931954,5.647606077463717,56965934206583.8,7000.0,1698.984375,1848.984375,1998.984375,6974.320597128596
1400.0,-0.002444204081917354,5.647604372786755,71777414868345.97,7000.0,1698.90625,1848.90625,1998.90625,6974.364272548979
1500.0,-0.0026387315019509006,5.647602532427761,88955334333031.58,7000.0,1698.828125,1848.828125,1998.828125,6974.407942033273
1600.0,-0.0028333187785385613,5.647600556343289,108675008211478.61,7000.0,1698.75,1848.75,1998.75,6974.4516055795775
1700.0,-0.0030279556715239776,5.64759844449704,131111755400630.7,7000.0,1698.671875,1848.671875,1998.671875,6974.495263186304
