Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
0.0,0.0,5.6635877521939175,0.0,7000.0,1700.0,1850.0,2000.0
100.0,-0.0,5.6635877521939175,0.0,7000.0,1699.921875,1849.921875,1999.921875
200.0,-0.0001467755229349,5.663587649451051,87964594300.5142,7000.0,1699.84375,1849.84375,1999.84375
300.0,-0.0003261678287444,5.66358742113357,439822971502.57104,7000.0,1699.765625,1849.765625,1999.765625
400.0,-0.0005137143302724,5.66358706153354,1231504320207.199,7000.0,1699.6875,1849.6875,1999.6875
500.0,-0.0007045225100879,5.663586568367783,2638937829015.4263,7000.0,1699.609375,1849.609375,1999.609375
600.0,-0.0008969615290471,5.663585940494712,4838052686528.281,7000.0,1699.53125,1849.53125,1999.53125
700.0,-0.0010903324560884,5.663585177261992,8004778081346.793,7000.0,1699.453125,1849.453125,1999.453125
800.0,-0.001284285825681,5.663584278261914,12315043202071.988,7000.0,1699.375,1849.375,1999.375
900.0,-0.0014786274903079,5.663583243222671,17944777237304.9,7000.0,1699.296875,1849.296875,1999.296875
1000.0,-0.0016732409614587,5.663582071953998,25069909375646.547,7000.0,1699.21875,1849.21875,1999.21875
1100.0,-0.0018680521100815,5.663580764317521,33866368805697.97,7000.0,1699.140625,1849.140625,1999.140625
1200.0,-0.0020630115168083,5.663579320209459,44510084716060.19,7000.0,1699.0625,1849.0625,1999.0625
1300.0,-0.0022580849682304,5.663577739549981,57176986295334.234,7000.0,1698.984375,1848.984375,1998.984375
1400.0,-0.0024532480261989,5.663576022276362,72043002732121.14,7000.0,1698.90625,1848.90625,1998.90625
1500.0,-0.0026484827694045,5.663574168338424,89284063215021.92,7000.0,1698.828125,1848.828125,1998.828125
1600.0,-0.0028437757568652,5.663572177695394,109076096932637.62,7000.0,1698.75,1848.75,1998.75
1700.0,-0.0030391167101831,5.663570050313697,131595033073569.28,7000.0,1698.671875,1848.671875,1998.671875
1800.0,-0.0032344976350486,5.663567786165352,157016800826417.88,7000.0,1698.59375,1848.59375,1998.59375
1900.0,-0.0034299122201648,5.663565385226798,185517329379784.47,7000.0,1698.515625,1848.515625,1998.515625
2000.0,-0.003625355416494,5.663562847478007,217272547922270.1,7000.0,1698.4375,1848.4375,1998.4375
2100.0,-0.0038208231367201,5.663560172901811,252458385642475.75,7000.0,1698.359375,1848.359375,1998.359375
2200.0,-0.0040163120366753,5.663557361483385,291250771729002.56,7000.0,1698.28125,1848.28125,1998.28125
2300.0,-0.0042118193537863,5.6635544132098365,333825635370451.44,7000.0,1698.203125,1848.203125,1998.203125
2400.0,-0.0044073427859087,5.663551328069887,380358905755423.44,7000.0,1698.125,1848.125,1998.125
2500.0,-0.0046028803992409,5.663548106053608,431026512072519.6,7000.0,1698.046875,1848.046875,1998.046875
2600.0,-0.0047984305574897,5.663544747152218,486004383510341.0,7000.0,1697.96875,1847.96875,1997.96875
2700.0,-0.0049939918667753,5.663541251357911,545468449257488.6,7000.0,1697.890625,1847.890625,1997.890625
2800.0,-0.0051895631323439,5.663537618663718,609594638502563.5,7000.0,1697.8125,1847.8125,1997.8125
2900.0,-0.0053851433242351,5.663533849063391,678558880434166.6,7000.0,1697.734375,1847.734375,1997.734375
3000.0,-0.0055807315498167,5.663529942551307,752537104240899.1,7000.0,1697.65625,1847.65625,1997.65625
3100.0,-0.0057763270316347,5.663525899122385,831705239111361.9,7000.0,1697.578125,1847.578125,1997.578125
3200.0,-0.005971929089417,5.663521718772023,916239214234156.0,7000.0,1697.5,1847.5,1997.5
3300.0,-0.0061675371253486,5.663517401496034,1006314958797882.4,7000.0,1697.421875,1847.421875,1997.421875
3400.0,-0.0063631506119459,5.663512947290607,1102108401991142.4,7000.0,1697.34375,1847.34375,1997.34375
3500.0,-0.0065587690820088,5.663508356152249,1203795473002537.0,7000.0,1697.265625,1847.265625,1997.265625
3600.0,-0.0067543921202486,5.663503628077765,1311552101020667.0,7000.0,1697.1875,1847.1875,1997.1875
3700.0,-0.0069500193562725,5.663498763064216,1425554215234133.5,7000.0,1697.109375,1847.109375,1997.109375
3800.0,-0.0071456504586766,5.663493761108894,1545977744831537.5,7000.0,1697.03125,1847.03125,1997.03125
3900.0,-0.007341285130047,5.663488622209303,1672998619001480.0,7000.0,1696.953125,1846.953125,1996.953125
4000.0,-0.0075369231027112,5.66348334636313,1806792766932562.0,7000.0,1696.875,1846.875,1996.875
4100.0,-0.0077325641351111,5.663477933568236,1947536117813384.8,7000.0,1696.796875,1846.796875,1996.796875
4200.0,-0.0079282080086942,5.66347238382263,2095404600832548.8,7000.0,1696.71875,1846.71875,1996.71875
4300.0,-0.0081238545252384,5.663466697124462,2250574145178656.0,7000.0,1696.640625,1846.640625,1996.640625
4400.0,-0.0083195035045418,5.663460873472009,2413220680040307.0,7000.0,1696.5625,1846.5625,1996.5625
4500.0,-0.0085151547824204,5.663454912863661,2583520134606102.5,7000.0,1696.484375,1846.484375,1996.484375
4600.0,-0.0087108082089673,5.663448815297914,2761648438064644.0,7000.0,1696.40625,1846.40625,1996.40625
4700.0,-0.0089064636470332,5.663442580773361,2947781519604532.0,7000.0,1696.328125,1846.328125,1996.328125
4800.0,-0.0091021209708984,5.663436209288682,3142095308414368.0,7000.0,1696.25,1846.25,1996.25
4900.0,-0.0092977800651057,5.663429700842636,3344765733682753.0,7000.0,1696.171875,1846.171875,1996.171875
5000.0,-0.0094934408234345,5.66342305543406,3555968724598287.5,7000.0,1696.09375,1846.09375,1996.09375
5100.0,-0.0096891031479954,5.6634162730618565,3775880210349573.0,7000.0,1696.015625,1846.015625,1996.015625
5200.0,-0.0098847669484288,5.663409353724993,4004676120125210.5,7000.0,1695.9375,1845.9375,1995.9375
5300.0,-0.0100804321411948,5.663402297422494,4242532383113801.0,7000.0,1695.859375,1845.859375,1995.859375
5400.0,-0.0102760986489416,5.663395104153439,4489624928503945.5,7000.0,1695.78125,1845.78125,1995.78125
5500.0,-0.0104717663999429,5.66338777391696,4746129685484245.0,7000.0,1695.703125,1845.703125,1995.703125
5600.0,-0.0106674353275959,5.663380306712231,5012222583243300.0,7000.0,1695.625,1845.625,1995.625
5700.0,-0.0108631053699714,5.663372702538473,5288079550969713.0,7000.0,1695.546875,1845.546875,1995.546875
5800.0,-0.0110587764694114,5.663364961394943,5573876517852084.0,7000.0,1695.46875,1845.46875,1995.46875
5900.0,-0.0112544485721669,5.663357083280943,5869789413079014.0,7000.0,1695.390625,1845.390625,1995.390625
6000.0,-0.0114501216280722,5.663349068195804,6175994165839104.0,7000.0,1695.3125,1845.3125,1995.3125
6100.0,-0.0116457955902509,5.66334091613889,6492666705320955.0,7000.0,1695.234375,1845.234375,1995.234375
6200.0,-0.0118414704148511,5.6633326271096,6819982960713168.0,7000.0,1695.15625,1845.15625,1995.15625
6300.0,-0.0120371460608052,5.663324201107358,7158118861204345.0,7000.0,1695.078125,1845.078125,1995.078125
6400.0,-0.0122328224896122,5.663315638131616,7507250335983086.0,7000.0,1695.0,1845.0,1995.0
6500.0,-0.0124284996651405,5.663306938181851,7867553314237992.0,7000.0,1694.921875,1844.921875,1994.921875
6600.0,-0.012624177553448,5.6632981012575625,8239203725157666.0,7000.0,1694.84375,1844.84375,1994.84375
6700.0,-0.0128198561226194,5.663289127358277,8622377497930706.0,7000.0,1694.765625,1844.765625,1994.765625
6800.0,-0.0130155353426166,5.663280016483537,9017250561745714.0,7000.0,1694.6875,1844.6875,1994.6875
6900.0,-0.0132112151851427,5.663270768632907,9423998845791292.0,7000.0,1694.609375,1844.609375,1994.609375
7000.0,-0.013406895623518,5.66326138380597,9842798279256040.0,7000.0,1694.53125,1844.53125,1994.53125
7100.0,-0.0136025766325658,5.663251862002327,1.027382479132856e+16,7000.0,1694.453125,1844.453125,1994.453125
7200.0,-0.0137982581885079,5.6632422032215946,1.0717254311197452e+16,7000.0,1694.375,1844.375,1994.375
7300.0,-0.0139939402688693,5.663232407463407,1.1173262768051318e+16,7000.0,1694.296875,1844.296875,1994.296875
7400.0,-0.0141896228523898,5.6632224747274105,1.1642026091078758e+16,7000.0,1694.21875,1844.21875,1994.21875
7500.0,-0.014385305918943,5.663212405013268,1.2123720209468374e+16,7000.0,1694.140625,1844.140625,1994.140625
7600.0,-0.0145809894494618,5.663202198320653,1.2618521052408766e+16,7000.0,1694.0625,1844.0625,1994.0625
7700.0,-0.0147766734258697,5.663191854649255,1.3126604549088536e+16,7000.0,1693.984375,1843.984375,1993.984375
7800.0,-0.014972357831017,5.663181373998772,1.3648146628696284e+16,7000.0,1693.90625,1843.90625,1993.90625
7900.0,-0.0151680426486225,5.663170756368919,1.4183323220420612e+16,7000.0,1693.828125,1843.828125,1993.828125
8000.0,-0.015363727863219,5.6631600017594135,1.4732310253450122e+16,7000.0,1693.75,1843.75,1993.75
8100.0,-0.0155594134601032,5.663149110169991,1.5295283656973412e+16,7000.0,1693.671875,1843.671875,1993.671875
8200.0,-0.015755099425289,5.663138081600394,1.5872419360179086e+16,7000.0,1693.59375,1843.59375,1993.59375
