r,V_p,V_s,rho,Q_p,Q_s,r,rho(kg/cm^3),gravity,pressure
1737.1,1,0.5,2.6,6750,6750,1737.1,2.6,1.6248,0
1736.1,1,0.5,2.6,6750,6750,1736.1,2.6,1.6245,0.0056
1736.1,3.2,1.8,2.762,6750,6750,1736.1,2.762,1.6245,0.0056
1725.1,3.2,1.8,2.762,6750,6750,1725.1,2.762,1.6196,0.0781
1725.1,5.5,3.3,2.762,6750,6750,1725.1,2.762,1.6196,0.0781
1709.1,5.5,3.3,2.762,6750,6750,1709.1,2.762,1.6127,0.1825
1709.1,7.54,4.34,3.312,6750,6750,1697.1,2.762,1.6076,0.2599
1697.1,7.55,4.34,3.314,6750,6750,1697.1,3.314,1.6076,0.2599
1671.7,7.57,4.35,3.318,9000,4000,1671.7,3.318,1.5851,0.5086
1647.1,7.59,4.36,3.322,9000,4000,1647.1,3.322,1.5632,0.747
1627.1,7.61,4.37,3.325,9000,4000,1627.1,3.325,1.5454,0.9389
1607.1,7.63,4.38,3.329,9000,4000,1607.1,3.329,1.5276,1.129
1587.1,7.64,4.39,3.332,9000,4000,1587.1,3.332,1.5098,1.3174
1567.1,7.66,4.4,3.335,9000,4000,1567.1,3.335,1.492,1.504
1547.1,7.68,4.4,3.338,9000,4000,1547.1,3.338,1.4741,1.6888
1527.1,7.69,4.41,3.341,9000,4000,1527.1,3.341,1.4562,1.8718
1502,7.71,4.42,3.344,9000,4000,1502,3.344,1.4338,2.0988
1487.1,7.72,4.43,3.346,9000,4000,1487.1,3.346,1.4204,2.2321
1461.7,7.74,4.44,3.35,3375,1500,1461.7,3.35,1.3976,2.457
1447.1,7.75,4.44,3.352,3375,1500,1447.1,3.352,1.3845,2.5848
1427.1,7.77,4.45,3.355,3375,1500,1427.1,3.355,1.3666,2.7583
1407.1,7.78,4.45,3.357,3375,1500,1407.1,3.357,1.3486,2.9297
1387.1,7.8,4.46,3.36,3375,1500,1387.1,3.36,1.3306,3.0992
1367.1,7.81,4.47,3.363,3375,1500,1367.1,3.363,1.3126,3.2666
1347.1,7.82,4.47,3.365,3375,1500,1347.1,3.365,1.2946,3.432
1327.1,7.84,4.48,3.368,3375,1500,1327.1,3.368,1.2766,3.5954
1307.1,7.85,4.49,3.37,3375,1500,1307.1,3.37,1.2586,3.7566
1287.1,7.86,4.49,3.373,3375,1500,1287.1,3.373,1.2405,3.9157
1267.1,7.88,4.5,3.375,3375,1500,1267.1,3.375,1.2225,4.0728
