Radius,Vp,Vs,Rho,Qp,Qs,Radius2,Density,Gravity,Pressure,Mass
0.0,?,?,5.171,10000,10000,0.0,5.171,0.0,5.3055,0.0
380.0,?,0.00?,5.171,10000,10000,380.0,5.171,0.5494,4.7657,3.565621104663624e+21
380.0,8.23,4.64,3.442,675,300,380.0,3.442,0.5494,4.7657,3.565621104663624e+21
387.1,8.23,4.64,3.442,675,300,387.1,3.442,0.5495,4.7523,3.6116388590069193e+21
407.1,8.23,4.64,3.441,675,300,407.1,3.441,0.5518,4.7144,3.754965438686125e+21
427.1,8.22,4.64,3.44,675,300,427.1,3.44,0.5564,4.6763,3.91267478989055e+21
447.1,8.22,4.63,3.439,675,300,447.1,3.439,0.5629,4.6378,4.0854499783037855e+21
467.1,8.21,4.63,3.438,675,300,467.1,3.438,0.571,4.5988,4.273973466423633e+21
487.1,8.21,4.63,3.438,675,300,487.1,3.438,0.5804,4.5592,4.4789867451149535e+21
507.1,8.20,4.63,3.437,675,300,507.1,3.437,0.5909,4.519,4.7011164363453875e+21
527.1,8.20,4.63,3.436,675,300,527.1,3.436,0.6024,4.478,4.941043394117299e+21
547.1,8.19,4.63,3.435,675,300,547.1,3.435,0.6147,4.4361,5.199447869247259e+21
567.1,8.19,4.63,3.434,675,300,567.1,3.434,0.6277,4.3935,5.477009509366055e+21
587.1,8.18,4.62,3.433,675,300,587.1,3.433,0.6413,4.3499,5.774407358918679e+21
607.1,8.18,4.62,3.431,675,300,607.1,3.431,0.6554,4.3054,6.092227227316948e+21
627.1,8.17,4.62,3.43,675,300,627.1,3.43,0.67,4.2599,6.431233380715821e+21
647.1,8.16,4.62,3.429,675,300,647.1,3.429,0.685,4.2135,6.792102852940996e+21
667.1,8.16,4.62,3.428,675,300,667.1,3.428,0.7004,4.166,7.175512074632379e+21
687.1,8.15,4.61,3.427,675,300,687.1,3.427,0.716,4.1174,7.582136873244089e+21
707.1,8.14,4.61,3.425,675,300,707.1,3.425,0.732,4.0678,8.012526811748538e+21
727.1,8.14,4.61,3.424,675,300,727.1,3.424,0.7481,4.0171,8.467474963448686e+21
747.1,8.13,4.61,3.423,675,300,747.1,3.423,0.7645,3.9653,8.947655145179351e+21
767.1,8.12,4.60,3.421,675,300,767.1,3.421,0.7811,3.9124,9.453592678881378e+21
787.1,8.12,4.60,3.42,675,300,787.1,3.42,0.7978,3.8584,9.98610025446491e+21
807.1,8.11,4.60,3.419,675,300,807.1,3.419,0.8147,3.8033,1.0545849678145465e+22
827.1,8.10,4.59,3.417,675,300,827.1,3.417,0.8318,3.747,1.113334022127495e+22
847.1,8.09,4.59,3.416,675,300,847.1,3.416,0.8489,3.6896,1.1749405999928061e+22
867.1,8.08,4.59,3.414,675,300,867.1,3.414,0.8662,3.631,1.2394527846067117e+22
887.1,8.08,4.58,3.413,675,300,887.1,3.413,0.8835,3.5713,1.3069555098165522e+22
907.1,8.07,4.58,3.411,675,300,907.1,3.411,0.901,3.5104,1.3774949344548292e+22
927.1,8.06,4.58,3.409,675,300,927.1,3.409,0.9185,3.4484,1.4511359930802765e+22
947.1,8.05,4.57,3.408,675,300,947.1,3.408,0.9361,3.3852,1.5279660436433914e+22
961.7,8.04,4.57,3.406,675,300,961.7,3.406,0.949,3.3383,1.5857605549110795e+22
987.1,8.03,4.57,3.404,1125,500,987.1,3.404,0.9715,3.2552,1.691626294495697e+22
1002.0,8.02,4.56,3.403,1125,500,1002.0,3.403,0.9847,3.2056,1.7555988241951436e+22
1027.1,8.01,4.56,3.4,1125,500,1027.1,3.4,1.007,3.1206,1.8687314744294725e+22
1047.1,8.00,4.55,3.398,1125,500,1047.1,3.398,1.0249,3.0515,1.9623667630306903e+22
1067.1,7.99,4.55,3.397,1125,500,1067.1,3.397,1.0427,2.9813,2.0595845311156328e+22
1087.1,7.98,4.54,3.395,1125,500,1087.1,3.395,1.0606,2.9099,2.1604212323579784e+22
1107.1,7.97,4.54,3.393,1125,500,1107.1,3.393,1.0786,2.8373,2.264940755794427e+22
1127.1,7.96,4.54,3.391,1125,500,1127.1,3.391,1.0965,2.7635,2.3732068698245193e+22
1147.1,7.95,4.53,3.388,1125,500,1147.1,3.388,1.1145,2.6886,2.4852501515843813e+22
1167.1,7.94,4.53,3.386,1125,500,1167.1,3.386,1.1325,2.6125,2.6011660355817e+22
1187.1,7.92,4.52,3.384,1125,500,1187.1,3.384,1.1505,2.5352,2.72101790819835e+22
1207.1,7.91,4.51,3.382,1125,500,1207.1,3.382,1.1685,2.4567,2.8448690351790474e+22
1231.7,7.90,4.51,3.379,1125,500,1231.7,3.379,1.1906,2.3586,3.0033375711799852e+22
1252.0,7.88,4.50,3.377,3375,1500,1252.0,3.377,1.2089,2.2764,3.1383723446841354e+22
1267.1,7.88,4.50,3.375,3375,1500,1267.1,3.375,1.2225,2.2144,3.2411934741823014e+22
1287.1,7.86,4.49,3.373,3375,1500,1287.1,3.373,1.2405,2.1313,3.3816302277603197e+22
1307.1,7.85,4.49,3.37,3375,1500,1307.1,3.37,1.2586,2.047,3.5263365113314317e+22
1327.1,7.84,4.48,3.368,3375,1500,1327.1,3.368,1.2766,1.9616,3.675416462167896e+22
1347.1,7.82,4.47,3.365,3375,1500,1347.1,3.365,1.2946,1.8751,3.828886853499046e+22
1367.1,7.81,4.47,3.363,3375,1500,1367.1,3.363,1.3126,1.7874,3.986854189297115e+22
1387.1,7.80,4.46,3.36,3375,1500,1387.1,3.36,1.3306,1.6985,4.149332232693285e+22
1407.1,7.78,4.45,3.357,3375,1500,1407.1,3.357,1.3486,1.6085,4.316380173705894e+22
1427.1,7.77,4.45,3.355,3375,1500,1427.1,3.355,1.3666,1.5174,4.48810820710049e+22
1447.1,7.75,4.44,3.352,3375,1500,1447.1,3.352,1.3845,1.4251,4.664525420011484e+22
1461.7,7.74,4.44,3.35,3375,1500,1461.7,3.35,1.3976,1.3571,4.795843347761378e+22
1487.1,7.72,4.43,3.346,9000,4000,1487.1,3.346,1.4204,1.2373,5.032027016566591e+22
1502.0,7.71,4.42,3.344,9000,4000,1502.0,3.344,1.4338,1.1661,5.173281508219417e+22
1527.1,7.69,4.41,3.341,9000,4000,1527.1,3.341,1.4562,1.0449,5.4190323507536815e+22
1547.1,7.68,4.40,3.338,9000,4000,1547.1,3.338,1.4741,0.947,5.6198320066705414e+22
1567.1,7.66,4.40,3.335,9000,4000,1567.1,3.335,1.492,0.8481,5.825671696679316e+22
1587.1,7.64,4.39,3.332,9000,4000,1587.1,3.332,1.5098,0.748,6.036609022409098e+22
1607.1,7.63,4.38,3.329,9000,4000,1607.1,3.329,1.5276,0.6469,6.252701404533241e+22
1627.1,7.61,4.37,3.325,9000,4000,1627.1,3.325,1.5454,0.5446,6.47393954498276e+22
1647.1,7.59,4.36,3.322,9000,4000,1647.1,3.322,1.5632,0.4413,6.700445394513712e+22
1671.7,7.57,4.35,3.318,9000,4000,1671.7,3.318,1.5851,0.3127,6.987086214631485e+22
1697.1,7.55,4.34,3.314,6750,6750,1697.1,3.314,1.6076,0.1783,7.291743067621358e+22
1709.1,7.54,4.34,3.312,6750,6750,1697.1,2.762,1.6076,0.1783,7.413403605627696e+22
1709.1,5.50,3.30,2.762,6750,6750,1709.1,2.762,1.6127,0.1249,7.413403605627696e+22
1725.1,5.50,3.30,2.762,6750,6750,1725.1,2.762,1.6196,0.0535,7.57866905592035e+22
1725.1,3.20,1.80,2.762,6750,6750,1725.1,2.762,1.6196,0.0535,7.57866905592035e+22
1736.1,3.20,1.80,2.762,6750,6750,1736.1,2.762,1.6245,0.0042,7.693742655303746e+22
1736.1,1.00,0.50,2.6,6750,6750,1736.1,2.6,1.6245,0.0042,7.693742655303746e+22
1737.1,1.00,0.50,2.6,6750,6750,1737.1,2.6,1.6248,0.0,7.703601654984919e+22
